cve_mun,municipio,estado,poblacion,tasa_hom_2019s1,tasa_hom_2026s1,delta_homicidio_pct,tasa_control_2019s1,tasa_control_2026s1,delta_control_pct,cuadrante,score
25018,Navolato,Sinaloa,150109,9.85,36.64,272.1,3.28,4.66,42.1,Q3,-230.0
26017,Caborca,Sonora,96250,17.74,4.16,-76.6,273.91,112.21,-59.0,Q1,17.5
26018,Cajeme,Sonora,453062,37.64,35.76,-5.0,28.85,258.02,794.4,Q2,799.4
26025,Empalme,Sonora,52096,58.54,1.92,-96.7,32.1,72.94,127.2,Q2,223.9
26029,Guaymas,Sonora,161039,22.53,6.21,-72.4,16.9,59.61,252.8,Q2,325.3
26030,Hermosillo,Sonora,1028894,12.91,12.44,-3.6,23.6,194.97,726.1,Q2,729.8
26043,Nogales,Sonora,291698,18.15,9.26,-49.0,3.78,40.8,979.0,Q2,1028.0
26055,San Luis Río Colorado,Sonora,213148,21.33,12.2,-42.8,38.19,37.06,-3.0,Q1,39.9
27002,Cárdenas,Tabasco,245295,14.03,9.78,-30.3,7.62,15.9,108.7,Q2,139.0
27004,Centro,Tabasco,698755,18.98,20.75,9.3,21.57,44.08,104.4,Q3,95.0
27005,Comalcalco,Tabasco,225137,11.08,10.22,-7.8,6.47,52.41,710.7,Q2,718.5
27006,Cunduacán,Tabasco,139220,17.17,20.11,17.1,5.72,22.27,289.1,Q3,271.9
27008,Huimanguillo,Tabasco,197788,34.05,17.7,-48.0,4.64,34.89,651.4,Q2,699.4
27013,Nacajuca,Tabasco,162318,6.62,11.71,76.8,6.62,22.18,235.0,Q3,158.2
27017,Tenosique,Tabasco,66620,12.7,13.51,6.4,39.68,3.0,-92.4,Q4,-98.8
28003,Altamira,Tamaulipas,293020,5.21,2.05,-60.7,2.23,4.44,98.8,Q2,159.5
28009,Ciudad Madero,Tamaulipas,209945,2.86,3.33,16.7,2.86,4.29,50.1,Q3,33.3
28021,El Mante,Tamaulipas,112505,28.31,3.56,-87.4,4.57,19.55,328.3,Q2,415.7
28022,Matamoros,Tamaulipas,582214,5.11,1.72,-66.4,5.84,4.64,-20.5,Q1,45.8
28027,Nuevo Laredo,Tamaulipas,459021,6.53,0.65,-90.0,4.2,0.87,-79.2,Q1,10.7
28032,Reynosa,Tamaulipas,778947,18.08,5.65,-68.7,4.94,11.94,141.6,Q2,210.3
28041,Victoria,Tamaulipas,366665,21.95,3.55,-83.8,17.73,16.91,-4.6,Q1,79.2
30003,Acayucan,Veracruz,79085,22.92,22.76,-0.7,22.92,61.96,170.3,Q2,171.0
30010,Altotonga,Veracruz,64375,27.53,6.21,-77.4,7.65,35.73,367.2,Q2,444.7
30038,Coatepec,Veracruz,96178,13.67,1.04,-92.4,33.66,49.91,48.3,Q2,140.7
30039,Coatzacoalcos,Veracruz,310767,22.43,10.3,-54.1,15.79,68.86,336.0,Q2,390.1
30044,Córdoba,Veracruz,207490,16.22,4.82,-70.3,10.97,65.55,497.3,Q2,567.6
